ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75
CN-007,20210628,3471697,3,3271280.976,5262931,0,5787470.402,355.99,3,353.3471429,-2.643,1.515953437,12.27551724,29,0,355.99,355.99,355.99,355.99,355.99,355.99,-2.643,0,0
CN-007,20210616,1362303,0,1362303,1057712,2,686850.9622,287.1,2,267.7792337,-19.321,0.776414645,9.9,29,0,287.1,287.1,287.1,287.1,287.1,287.1,-19.321,0,0
CN-007,20210630,1881883,1,2314544.129,254961,2,686850.9622,351.19,3,353.3471429,2.157,0.135481855,12.11,29,0,351.19,271.79,311.49,311.49,324.72598,331.34,2.157,-0.075355278,-0.056522111
CN-007,20210608,2133884,1,2314544.129,3571548,3,2495815.369,273.08,2,267.7792337,-5.301,1.673731093,9.752857143,28,0,273.08,273.08,273.08,273.08,273.08,273.08,-5.301,0,0
CN-007,20210624,2517608,1,2314544.129,84520095,1,84520095,319.17,0,315.4662963,-3.704,33.5715866,11.00586207,29,0,319.17,319.17,319.17,319.17,319.17,319.17,-3.704,0,0
CN-007,20210618,2199724,1,2314544.129,6787342,0,5787470.402,272.03,2,267.7792337,-4.251,3.08554255,9.715357143,28,0,272.03,272.03,272.03,272.03,272.03,272.03,-4.251,0,0
CN-007,20210622,2716281,1,2314544.129,752374,2,686850.9622,271.79,2,267.7792337,-4.011,0.276986807,10.0662963,27,0,351.19,271.79,311.49,311.49,324.72598,331.34,-4.011,0.194767946,0.219102984
CN-007,20210702,664856,2,299689.0497,2456757,3,2495815.369,311.67,0,315.4662963,3.796,3.695171586,11.13107143,28,0,311.67,280.73,296.2,296.2,301.357698,303.935,3.796,-0.033087246,-0.024817916
CN-007,20210707,231040,2,299689.0497,5424369,0,5787470.402,265.42,2,267.7792337,2.359,23.47805142,9.83037037,27,0,265.42,265.42,265.42,265.42,265.42,265.42,2.359,0,0
CN-007,20210610,8000,2,299689.0497,2202033,3,2495815.369,280.73,2,267.7792337,-12.951,275.254125,10.39740741,27,0,311.67,280.73,296.2,296.2,301.357698,303.935,-12.951,0.07347878,0.082659495
CN-008,20210622,0,-1,0,1344498,3,1179067.133,18.77,0,18.62605055,-0.144,0,9.385,2,0,19.46,18.77,19.115,19.115,19.230023,19.2875,-0.144,0.024508418,0.027570591
CN-008,20210707,0,-1,0,2479481,0,2803713.385,15.92,2,16.04517588,0.125,0,7.96,2,0,15.92,15.92,15.92,15.92,15.92,15.92,0.125,0,0
CN-008,20210616,0,-1,0,1308313,3,1179067.133,19.46,3,19.74422481,0.284,0,9.73,2,0,19.46,18.77,19.115,19.115,19.230023,19.2875,0.284,-0.011817934,-0.008864337
CN-008,20210709,320676,2,350917.6245,6488100,2,7631352.438,16.03,2,16.04517588,0.015,20.23257119,8.015,2,0,16.03,16.03,16.03,16.03,16.03,16.03,0.015,0,0
CN-008,20210628,380443,2,350917.6245,2984762,0,2803713.385,20.33,3,19.74422481,-0.586,7.845490652,10.165,2,0,20.33,20.33,20.33,20.33,20.33,20.33,-0.586,0,0
CN-008,20210618,608890,1,601414.2779,2607312,0,2803713.385,18.25,0,18.62605055,0.376,4.282073938,9.125,2,0,19.85,18.25,19.05,19.05,19.31672,19.45,0.376,0.058450411,0.065753425
CN-008,20210610,594000,1,601414.2779,3176300,0,2803713.385,19.85,3,19.74422481,-0.106,5.347306397,9.925,2,0,19.85,18.25,19.05,19.05,19.31672,19.45,-0.106,-0.026865491,-0.020151134
CN-008,20210630,142020,3,120870.4914,1588010,3,1179067.133,18.91,0,18.62605055,-0.284,11.18159414,9.455,2,0,18.91,18.91,18.91,18.91,18.91,18.91,-0.284,0,0
CN-008,20210702,100000,3,120870.4914,8779002,2,7631352.438,25.82,1,25.82,0,87.79002,12.91,2,0,25.82,25.82,25.82,25.82,25.82,25.82,0,0,0
CN-008,20210608,500,0,19998.4955,444133601,1,444133601,19.37,3,19.74422481,0.374,888267.202,9.685,2,0,19.37,19.37,19.37,19.37,19.37,19.37,0.374,0,0
CN-008,20210624,40057,0,19998.4955,370000,3,1179067.133,16.18,2,16.04517588,-0.135,9.236837507,8.09,2,0,16.18,16.18,16.18,16.18,16.18,16.18,-0.135,0,0
CN-035,20210606,0,-1,0,0,-1,0,58.95,1,22.16830904,-36.782,0,9.825,6,1,218.74,5.93,21.955,43.644,25.702892,32.93,-36.782,-0.563988261,-0.441391009
CN-035,20210624,0,-1,0,105592,1,75699.25835,407.14,0,401.1013953,-6.039,0,12.723125,32,0,407.14,374.54,390.84,390.84,396.27442,398.99,-6.039,-0.026687577,-0.020017684
CN-035,20210612,0,-1,0,0,-1,0,5.93,1,22.16830904,16.238,0,5.93,1,1,218.74,5.93,21.955,43.644,25.702892,32.93,16.238,3.334383137,4.55311973
CN-035,20210611,0,-1,0,40451,0,36467.55347,376.38,3,354.7491756,-21.631,0,11.761875,32,0,376.38,358.26,367.32,367.32,370.340604,371.85,-21.631,-0.016046007,-0.012035709
CN-035,20210703,0,-1,0,0,-1,0,218.74,2,274.9505025,56.211,0,9.114166667,24,1,218.74,5.93,21.955,43.644,25.702892,32.93,56.211,-0.882495694,-0.849455975
CN-035,20210710,0,-1,0,0,-1,0,19.3,1,22.16830904,2.868,0,9.65,2,1,218.74,5.93,21.955,43.644,25.702892,32.93,2.868,0.331756062,0.706217617
CN-035,20210616,0,-1,0,32415,0,36467.55347,358.26,3,354.7491756,-3.511,0,10.85636364,33,0,376.38,358.26,367.32,367.32,370.340604,371.85,-3.511,0.033720214,0.037933344
CN-035,20210626,0,-1,0,0,-1,0,10.5,1,22.16830904,11.668,0,10.5,1,1,218.74,5.93,21.955,43.644,25.702892,32.93,11.668,1.447894476,2.136190476
CN-035,20210610,0,-1,0,75470,1,75699.25835,374.54,3,354.7491756,-19.791,0,11.704375,32,0,407.14,374.54,390.84,390.84,396.27442,398.99,-19.791,0.058029636,0.065280077
CN-035,20210619,0,-1,0,0,-1,0,23.43,1,22.16830904,-1.262,0,11.715,2,1,218.74,5.93,21.955,43.644,25.702892,32.93,-1.262,0.097007768,0.405463082
CN-035,20210711,0,-1,0,0,-1,0,25.7,1,22.16830904,-3.532,0,8.566666667,3,1,218.74,5.93,21.955,43.644,25.702892,32.93,-3.532,0.000112529,0.281322957
